We do not believe that we should cherry-pick . ||| Wir glauben nicht , daß wir nur Rosinen herauspicken sollten .
The Commission proposal seeks to ensure that the training of safety advisers is standardised. It outlines the minimum content of examinations and defines the role of the authorising body as well as the requirements demanded of the examining bodies. ||| Anliegen des Vorschlags der Kommission ist es, eine einheitliche Schulung der Sicherheitsberater zu gewährleisten, indem der Mindestinhalt der Prüfungen und die Aufgaben der zuständigen Behörde sowie die Anforderungen an die Prüfungsinstanzen festgelegt werden.
Parliament voted in favour of this text. It did, however, table a number of amendments, most of which were adopted in the Council' s common position, particularly regarding the need to draw up a questionnaire and statements on the authorisation of some document in the context of the 'specification of the examination arrangements proposed by the examination body' . ||| Unser Parlament hat diesem Text zugestimmt, allerdings mehrere Änderungsvorschläge eingebracht, von denen die meisten im Gemeinsamen Standpunkt des Rates berücksichtigt wurden, insbesondere hinsichtlich der Notwendigkeit eines Fragenkatalogs sowie der zur Zulassung bestimmter Dokumente im Rahmen der durch die Prüfungsstelle zu erarbeitenden Prüfungsmodalitäten.
In order to be realistic, I further support postponing the date for the application of these conditions until three months after the directive itself comes into force. ||| Im übrigen unterstütze ich im Interesse einer realistischen Herangehensweise den Vorschlag, den Termin für das Inkrafttreten dieser Bestimmungen zu verschieben und sie erst drei Monate nach Inkrafttreten der Richtlinie wirksam werden zu lassen.
I shall conclude by emphasising that harmonising the professional qualifications of advisers will contribute to improving the quality of the service in the interest of users, to minimising the risks of accident likely to cause damage to the environment as well as significant damage liable to be harmful to any person who may come into contact with dangerous goods. ||| Lassen Sie mich abschließend unterstreichen, daß eine Harmonisierung der beruflichen Qualifikation dieser Berater dazu beitragen wird, die Qualität der Leistungen im Interesse der Nutzer zu verbessern und die Unfallrisiken und damit die schädlichen Auswirkungen für die Umwelt sowie schwere Schäden für die physische Integrität von Personen, die mit Gefahrgütern in Kontakt kommen könnten, zu verringern.
Koch Report (A5-0104/1999) ||| Bericht Koch (A5-0104/1999)
Last October I expressed my views on the Hatzidakis report on the transport of dangerous goods by rail. ||| . (FR) Im Oktober letzten Jahres hatte ich zum Bericht Hatzidakis über die Eisenbahnbeförderung gefährlicher Güter das Wort ergriffen.
The views I shall express today are not far removed from those I had then. ||| Was ich heute sagen möchte, ist gar nicht so weit von dem entfernt, was ich damals zum Ausdruck brachte.
Essentially, my opinion is as follows: I deplore the fact that, in a field as crucial as the transport of dangerous goods, we keep putting off the adoption of harmonised standards to the detriment of human beings and the environment. ||| Es läßt sich folgendermaßen zusammenfassen: ich bedaure, daß wir in einem so wichtigen Bereich wie der Beförderung gefährlicher Güter die Annahme von harmonisierten Normen auf Kosten der Sicherheit der Menschen und der Umwelt immer wieder hinausschieben.
I shall point out that a directive on the approximation of Member State legislation on the transport of dangerous goods by road came into force on 1 January 1997. ||| Ich möchte daran erinnern, daß am 1. Januar 1997 eine Richtlinie über die Annäherung der Rechtsvorschriften der Mitgliedstaaten betreffend die Beförderung gefährlicher Güter auf der Straße in Kraft getreten ist.
This included a number of interim conditions valid until 1 January 1999. ||| Diese enthielt einige Übergangsbestimmungen, die bis zum 1. Januar 1999 galten.
This is the time when we should have expressed our opinion of the Commission proposal to put an end to the derogations. ||| Von diesem Tage an hätten wir uns zu einem Vorschlag der Europäischen Kommission über die Beendigung dieser Ausnahmeregelungen äußern müssen.
In line with the usual procedure, it is the European Committee for Standardisation (CEN) which puts forward standards in this area, and they are then integrated in to the European Agreement concerning the International Carriage of Dangerous Goods by Road signed in Geneva in 1957 (known generally as ADR), applicable throughout Europe, whose terms and conditions form the basis for the legislation applicable within the EU. ||| Nach dem üblichen Verfahren schlägt das Europäische Komitee für Normung (CEN) die entsprechenden Normen vor, die dann in das im Jahre 1957 in Genf unterzeichnete Europäische Übereinkommen über die internationale Beförderung gefährlicher Güter auf der Straße (bekannter unter der Abkürzung ADR) aufgenommen werden, das für ganz Europa gilt und dessen Bestimmungen als Grundlage für das in der EU geltende Recht dienen.
The CEN has been unable to complete its work in the time allotted. Consequently, the Commission proposal under discussion today is intended to amend the directive in order to provide a short-term solution to these problems, rather than to put an end to the transitional arrangements, as should have been the case! ||| Da das CEN nicht in der Lage war, seine Arbeit in der vorgesehenen Zeit abzuschließen, zielt der uns heute vorliegende Vorschlag der Kommission darauf ab, die Richtlinie zu ändern, um diese Probleme kurzfristig zu regeln, aber nicht, um die Übergangsregelung wie eigentlich vorgesehen zu beenden!
This is exactly what happened in the case of transport of such goods by rail, except for the fact that a time limit had been decided. ||| Genau das gleiche ist auch mit der Beförderung dieser Güter auf der Schiene passiert, mit dem einzigen Unterschied, daß eine Frist gesetzt wurde.
Right now we do not have the slightest idea as to when the CEN will be in a position to put forward practical proposals. ||| Heute ist nicht im geringsten absehbar, wann das CEN imstande sein wird, uns konkrete Vorschläge zu machen.
Until then, there is really no point in Member States amending their national regulations. ||| Bis dahin wäre es in der Tat unnütz, daß die Mitgliedstaaten ihre nationalen Rechtsvorschriften ändern.
The report also accepts that some flexibility may be adopted, and grants States the option of adopting or applying alternative standards. ||| Der Bericht akzeptiert auch eine gewisse Flexibilität und gesteht den Mitgliedstaaten die Möglichkeit zu, unterschiedliche Normen zu beschließen bzw. anzuwenden.
They may, therefore, continue to enforce their own standards regarding certain types of pressure vessel used for transportation, where there are no applicable European standards. ||| Die Mitgliedstaaten können also für bestimmte ortsbewegliche Druckgeräte, für die es keine europäischen Normen gibt, auch weiterhin ihre eigenen Normen anwenden.
They may also adopt alternative conditions for transportation of a local nature and for ad hoc transportation. ||| Sie können auch für Beförderungen lokaler Art und für Ad­hoc­Beförderungen unterschiedliche Bestimmungen beschließen.
In offering this explanation of my vote, therefore, I wished to express my deep dissatisfaction and my deep concern. ||| Mit dieser Erklärung zur Abstimmung wollte ich meiner großen Unzufriedenheit und Besorgnis Ausdruck geben.
Schroedter Report (A5-0108/1999) ||| Bericht Schroedter (A5-0108/1999)
Mr President, I wanted to press home my explanation of vote by this oral explanation following on from the Schroedter report with regard to regional development. ||| Herr Präsident, ich möchte meinem Abstimmungsverhalten mit dieser mündlichen Erklärung zum Bericht Schroedter über die regionale Entwicklung Nachdruck verleihen.
I would urge both the Member States and the Commission to give sufficient consideration to the huge disparities in wealth which continue to exist between the different regions in Europe. ||| Ich appelliere sowohl an die Mitgliedstaaten als auch an die Kommission, dem zwischen den einzelnen Regionen in Europa nach wie vor bestehenden Wohlstandsgefälle gebührende Beachtung zu schenken.
Not only the difference in income per capita but, above all, large disparities in employment continue to give cause for concern. ||| Nicht nur das unterschiedliche Pro-Kopf-Einkommen, sondern insbesondere die enormen Unterschiede hinsichtlich der Beschäftigung bleiben besorgniserregend.
Despite the fact that the Community, through the structural funds among others, injects considerable sums into combating the disparities between regional development opportunities in Europe, these disparities continue to exist. ||| Obgleich die Gemeinschaft unter anderem über die Strukturfonds beträchtliche Mittel für den Ausgleich der Unterschiede in bezug auf die Entwicklungsmöglichkeiten in unseren Regionen in Europa aufwendet, bestehen diese Diskrepanzen nach wie vor.
I therefore wonder whether the Community should not have a more drastic change of tack and, based on very strict evaluations, change its course and change its objectives in such a way as to make it possible to combat the disparities in wealth and employment more effectively. ||| Deshalb frage ich mich, ob die Gemeinschaft das Ruder nicht entschlossener herumwerfen und anhand äußerst strenger Bewertungen eine Änderung des Kurses sowie der Zielsetzungen vornehmen muß, um die Differenzen im Wohlstand und in der Beschäftigung effizienter bekämpfen zu können.
Mr President, in relation to the Schroedter report, I am aware, and have had it confirmed to me by Mr Barnier, that the rules on additionality concerning Structural Funds apply only at the level of Member States and do not apply in a transitive and transparent way inside Member States in favour of self-governing regions such as Wales or Scotland. ||| Herr Präsident, zum Bericht Schroedter. Ich weiß, und es wurde mir auch von Herrn Barnier bestätigt, daß der Grundsatz der Zusätzlichkeit bei den Strukturfonds lediglich auf der Ebene der Mitgliedstaaten gilt, jedoch nicht umfassend und transparent innerhalb der Mitgliedstaaten zugunsten von Regionen mit Selbstverwaltung wie Wales und Schottland.
I regard that as a very unsatisfactory state of affairs. ||| Ich halte diesen Zustand für gänzlich unbefriedigend.
I hope we can revisit this issue at a later time. ||| Ich hoffe, daß wir zu einem späteren Zeitpunkt noch einmal auf dieses Thema zurückkommen.
